ID	Sample	Cohort	Subtype	ConfidenceLevel	Study
131	TCGA-EE-A2GE-06A-11D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
132	TCGA-BF-A5EQ-01A-21D-A27K-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
133	TCGA-FS-A1ZN-01A-11D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
134	TCGA-D9-A1JW-06A-11D-A19A-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
135	TCGA-ER-A3PL-06A-11D-A23B-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
136	TCGA-EE-A2GT-06A-12D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
137	TCGA-D9-A4Z5-01A-11D-A25O-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
138	TCGA-GF-A6C9-06A-11D-A30X-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
139	TCGA-EE-A3AB-06A-11D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
140	TCGA-D3-A2JO-06A-11D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
141	TCGA-FS-A1ZH-06A-11D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
142	TCGA-EB-A24D-01A-11D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
143	TCGA-DA-A1I4-06A-11D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
144	TCGA-EB-A3Y7-01A-11D-A23B-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
145	TCGA-D3-A3C1-06A-12D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
146	TCGA-D3-A1Q6-06A-11D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
147	TCGA-D3-A3MR-06A-11D-A21A-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
148	TCGA-BF-A1PU-01A-11D-A19A-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
149	TCGA-BF-A3DL-01A-11D-A20D-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
150	TCGA-DA-A1IC-06A-11D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
151	TCGA-EE-A3J4-06A-11D-A20D-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
152	TCGA-EE-A29X-06A-11D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
153	TCGA-EE-A3JB-06A-11D-A21A-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
154	TCGA-EE-A2M7-06A-11D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
155	TCGA-EE-A2MC-06A-12D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
156	TCGA-FW-A3I3-06A-11D-A21A-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
157	TCGA-EE-A2GN-06A-11D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
158	TCGA-EE-A3JE-06A-11D-A20D-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
159	TCGA-GN-A26A-06A-11D-A19A-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
160	TCGA-FS-A1Z4-06A-11D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
161	TCGA-D9-A4Z3-01A-11D-A25O-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
162	TCGA-FS-A1ZS-06A-12D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
163	TCGA-D9-A3Z1-06A-11D-A23B-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
164	TCGA-ER-A196-01A-11D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
165	TCGA-DA-A1IB-06A-11D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
166	TCGA-ER-A2NG-06A-11D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
167	TCGA-D3-A51F-06A-11D-A25O-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
168	TCGA-EE-A2GK-06A-11D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
169	TCGA-EB-A57M-01A-51D-A30X-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
170	TCGA-FS-A1Z3-06A-11D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
171	TCGA-BF-A1PX-01A-12D-A19A-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
172	TCGA-D3-A51N-06A-11D-A25O-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
173	TCGA-GN-A268-06A-11D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
174	TCGA-GF-A4EO-06A-12D-A24R-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
175	TCGA-FS-A1ZJ-06A-12D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
176	TCGA-D3-A5GN-06A-11D-A27K-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
177	TCGA-EB-A41B-01A-11D-A24R-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
178	TCGA-EE-A29D-06A-11D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
179	TCGA-EB-A4IS-01A-21D-A25O-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
180	TCGA-EE-A2MI-06A-11D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
181	TCGA-EB-A3HV-01A-11D-A21A-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
182	TCGA-D3-A2J7-06A-11D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
